########################################
# `caprieval` cluster-based analysis
#
# > sortby_key=score
# > sort_ascending=True
# > clt_threshold=4
#
# NOTE: if under_eval=yes, it means that there were less models in a cluster than
#    clt_threshold, thus these values were under evaluated.
#   You might need to tweak the value of clt_threshold or change some parameters
#    in `clustfcc` depending on your analysis.
#
########################################
cluster_rank	cluster_id	n	under_eval	score	score_std	irmsd	irmsd_std	fnat	fnat_std	lrmsd	lrmsd_std	dockq	dockq_std	ilrmsd	ilrmsd_std	rmsd	rmsd_std	air	air_std	bsa	bsa_std	desolv	desolv_std	elec	elec_std	total	total_std	vdw	vdw_std	caprieval_rank
1	1	10	-	-67.870	3.533	0.697	0.492	0.852	0.118	2.487	2.269	0.846	0.137	1.829	1.390	0.651	0.549	28.061	31.856	1041.852	54.915	-0.636	0.962	-239.199	14.614	-233.338	23.785	-22.200	1.427	1
2	9	4	-	-55.362	4.524	3.093	0.576	0.557	0.038	13.975	2.836	0.349	0.045	9.171	1.887	3.407	0.647	28.361	16.397	975.727	17.010	0.870	1.015	-159.512	9.479	-158.317	26.646	-27.166	2.437	2
3	4	8	-	-53.774	5.265	1.747	0.477	0.398	0.087	6.662	2.997	0.495	0.132	4.685	1.573	1.691	0.694	0.459	0.273	896.090	30.255	-4.613	3.692	-128.545	41.788	-151.584	36.529	-23.498	7.115	3
4	2	10	-	-53.213	3.241	8.518	0.073	0.091	0.000	39.657	0.268	0.055	0.000	24.670	0.363	9.791	0.067	0.286	0.305	904.159	74.698	0.576	0.668	-118.667	14.310	-148.465	12.626	-30.084	4.250	4
5	7	5	-	-51.540	7.120	1.360	0.286	0.591	0.116	5.079	2.187	0.629	0.064	3.786	0.953	1.293	0.510	42.403	27.671	943.616	152.198	2.029	1.979	-199.154	15.972	-174.730	38.237	-17.978	8.043	5
6	6	5	-	-50.040	6.586	2.904	0.309	0.273	0.000	11.388	1.298	0.283	0.030	7.943	1.083	2.864	0.300	8.993	15.255	833.003	60.177	1.827	5.066	-147.456	48.681	-161.738	61.401	-23.274	3.161	6
7	3	9	-	-48.866	3.082	7.414	0.104	0.000	0.000	19.624	0.285	0.066	0.002	18.716	0.335	5.570	0.056	33.843	0.660	958.278	26.793	-7.898	0.919	-101.915	9.107	-92.041	9.838	-23.969	2.085	7
8	8	4	-	-36.073	7.017	16.377	0.134	0.000	0.000	38.898	0.313	0.018	0.000	44.584	0.276	10.487	0.078	36.012	2.236	818.117	95.608	-5.787	0.662	-32.513	11.261	-23.887	17.966	-27.386	5.238	8
9	5	6	-	-32.908	2.594	11.470	3.936	0.000	0.000	27.241	7.313	0.043	0.021	29.701	10.176	7.639	2.052	0.956	0.857	734.277	133.159	-4.648	1.491	-65.935	12.357	-80.148	11.645	-15.169	2.143	9
